name,ability,hp,atk,def,spdef,spatk,spd,gender,evolution_level,evolves_into,method,egg_group
tentacruel,"clear-body, liquid-ooze, rain-dish",80,70,65,120,80,100,50% Male, 50% Female,30,tentacruel,level-up,"water3"
geodude,"rock-head, sturdy, sand-veil",40,80,100,30,30,20,50% Male, 50% Female,25,graveler,level-up,"mineral"
graveler,"rock-head, sturdy, sand-veil",55,95,115,45,45,35,50% Male, 50% Female,25,graveler,level-up,"mineral"
golem,"rock-head, sturdy, sand-veil",80,120,130,65,55,45,50% Male, 50% Female,25,graveler,level-up,"mineral"
ponyta,"run-away, flash-fire, flame-body",50,85,55,65,65,90,50% Male, 50% Female,40,rapidash,level-up,"ground"
rapidash,"run-away, flash-fire, flame-body",65,100,70,80,80,105,50% Male, 50% Female,40,rapidash,level-up,"ground"
slowpoke,"oblivious, own-tempo, regenerator",90,65,65,40,40,15,50% Male, 50% Female,37,slowbro,level-up,"monster, water1"
slowbro,"oblivious, own-tempo, regenerator",95,75,110,80,100,30,50% Male, 50% Female,37,slowbro,level-up,"monster, water1"
magnemite,"magnet-pull, sturdy, analytic",25,35,70,55,95,45,Genderless,30,magneton,level-up,"mineral"
magneton,"magnet-pull, sturdy, analytic",50,60,95,70,120,70,Genderless,30,magneton,level-up,"mineral"
farfetchd,"keen-eye, inner-focus, defiant",52,90,55,62,58,60,50% Male, 50% Female,,sirfetchd,three-critical-hits,"flying, ground"
doduo,"run-away, early-bird, tangled-feet",35,85,45,35,35,75,50% Male, 50% Female,31,dodrio,level-up,"flying"
dodrio,"run-away, early-bird, tangled-feet",60,110,70,60,60,110,50% Male, 50% Female,31,dodrio,level-up,"flying"
seel,"thick-fat, hydration, ice-body",65,45,55,70,45,45,50% Male, 50% Female,34,dewgong,level-up,"water1, ground"
dewgong,"thick-fat, hydration, ice-body",90,70,80,95,70,70,50% Male, 50% Female,34,dewgong,level-up,"water1, ground"
grimer,"stench, sticky-hold, poison-touch",80,80,50,50,40,25,50% Male, 50% Female,38,muk,level-up,"indeterminate"
muk,"stench, sticky-hold, poison-touch",105,105,75,100,65,50,50% Male, 50% Female,38,muk,level-up,"indeterminate"
shellder,"shell-armor, skill-link, overcoat",30,65,100,25,45,40,50% Male, 50% Female,,cloyster,use-item,"water3"
cloyster,"shell-armor, skill-link, overcoat",50,95,180,45,85,70,50% Male, 50% Female,,cloyster,use-item,"water3"
gastly,"levitate",30,35,30,35,100,80,50% Male, 50% Female,25,haunter,level-up,"indeterminate"
haunter,"levitate",45,50,45,55,115,95,50% Male, 50% Female,25,haunter,level-up,"indeterminate"
gengar,"cursed-body",60,65,60,75,130,110,50% Male, 50% Female,25,haunter,level-up,"indeterminate"
onix,"rock-head, sturdy, weak-armor",35,45,160,45,30,70,50% Male, 50% Female,,steelix,trade,"mineral"
drowzee,"insomnia, forewarn, inner-focus",60,48,45,90,43,42,50% Male, 50% Female,26,hypno,level-up,"humanshape"
hypno,"insomnia, forewarn, inner-focus",85,73,70,115,73,67,50% Male, 50% Female,26,hypno,level-up,"humanshape"
krabby,"hyper-cutter, shell-armor, sheer-force",30,105,90,25,25,50,50% Male, 50% Female,28,kingler,level-up,"water3"
kingler,"hyper-cutter, shell-armor, sheer-force",55,130,115,50,50,75,50% Male, 50% Female,28,kingler,level-up,"water3"
voltorb,"soundproof, static, aftermath",40,30,50,55,55,100,Genderless,30,electrode,level-up,"mineral"
electrode,"soundproof, static, aftermath",60,50,70,80,80,150,Genderless,30,electrode,level-up,"mineral"
exeggcute,"chlorophyll, harvest",60,40,80,45,60,40,50% Male, 50% Female,,exeggutor,use-item,"plant"
exeggutor,"chlorophyll, harvest",95,95,85,75,125,55,50% Male, 50% Female,,exeggutor,use-item,"plant"
cubone,"rock-head, lightning-rod, battle-armor",50,50,95,50,40,35,50% Male, 50% Female,28,marowak,level-up,"monster"
marowak,"rock-head, lightning-rod, battle-armor",60,80,110,80,50,45,50% Male, 50% Female,28,marowak,level-up,"monster"
hitmonlee,"limber, reckless, unburden",50,120,53,110,35,87,Male only,20,hitmonlee,level-up,"humanshape"
hitmonchan,"keen-eye, iron-fist, inner-focus",50,105,79,110,35,76,Male only,20,hitmonlee,level-up,"humanshape"
lickitung,"own-tempo, oblivious, cloud-nine",90,55,75,75,60,30,50% Male, 50% Female,,lickilicky,level-up,"monster"
koffing,"levitate, neutralizing-gas, stench",40,65,95,45,60,35,50% Male, 50% Female,35,weezing,level-up,"indeterminate"
weezing,"levitate, neutralizing-gas, stench",65,90,120,70,85,60,50% Male, 50% Female,35,weezing,level-up,"indeterminate"
rhyhorn,"lightning-rod, rock-head, reckless",80,85,95,30,30,25,50% Male, 50% Female,42,rhydon,level-up,"monster, ground"
rhydon,"lightning-rod, rock-head, reckless",105,130,120,45,45,40,50% Male, 50% Female,42,rhydon,level-up,"monster, ground"
chansey,"natural-cure, serene-grace, healer",250,5,5,105,35,50,Female only,,chansey,level-up,"fairy"
tangela,"chlorophyll, leaf-guard, regenerator",65,55,115,40,100,60,50% Male, 50% Female,,tangrowth,level-up,"plant"
kangaskhan,"early-bird, scrappy, inner-focus",105,95,80,80,40,90,Female only,,,,"monster"
horsea,"swift-swim, sniper, damp",30,40,70,25,70,60,50% Male, 50% Female,32,seadra,level-up,"water1, dragon"
seadra,"poison-point, sniper, damp",55,65,95,45,95,85,50% Male, 50% Female,32,seadra,level-up,"water1, dragon"
goldeen,"swift-swim, water-veil, lightning-rod",45,67,60,50,35,63,50% Male, 50% Female,33,seaking,level-up,"water2"
seaking,"swift-swim, water-veil, lightning-rod",80,92,65,80,65,68,50% Male, 50% Female,33,seaking,level-up,"water2"
staryu,"illuminate, natural-cure, analytic",30,45,55,55,70,85,Genderless,,starmie,use-item,"water3"
starmie,"illuminate, natural-cure, analytic",60,75,85,85,100,115,Genderless,,starmie,use-item,"water3"
mr-mime,"soundproof, filter, technician",40,45,65,120,100,90,50% Male, 50% Female,,mr-mime,level-up,"humanshape"
scyther,"swarm, technician, steadfast",70,110,80,80,55,105,50% Male, 50% Female,,scizor,trade,"bug"
jynx,"oblivious, forewarn, dry-skin",65,50,35,95,115,95,Female only,30,jynx,level-up,"humanshape"
electabuzz,"static, vital-spirit",65,83,57,85,95,105,75% Male, 25% Female,30,electabuzz,level-up,"humanshape"
magmar,"flame-body, vital-spirit",65,95,57,85,100,93,75% Male, 25% Female,30,magmar,level-up,"humanshape"
pinsir,"hyper-cutter, mold-breaker, moxie",65,125,100,70,55,85,50% Male, 50% Female,,,,"bug"
tauros,"intimidate, anger-point, sheer-force",75,100,95,70,40,110,Male only,,,,"ground"
magikarp,"swift-swim, rattled",20,10,55,20,15,80,50% Male, 50% Female,20,gyarados,level-up,"water2, dragon"
gyarados,"intimidate, moxie",95,125,79,100,60,81,50% Male, 50% Female,20,gyarados,level-up,"water2, dragon"
lapras,"water-absorb, shell-armor, hydration",130,85,80,95,85,60,50% Male, 50% Female,,,,"monster, water1"
ditto,"limber, imposter",48,48,48,48,48,48,Genderless,,,,"ditto"
eevee,"run-away, adaptability, anticipation",55,55,50,65,45,55,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
vaporeon,"water-absorb, hydration",130,65,60,95,110,65,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
jolteon,"volt-absorb, quick-feet",65,65,60,95,110,130,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
flareon,"flash-fire, guts",65,130,60,110,95,65,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
porygon,"trace, download, analytic",65,60,70,75,85,40,Genderless,,porygon2,trade,"mineral"
omanyte,"swift-swim, shell-armor, weak-armor",35,40,100,55,90,35,87.5% Male, 12.5% Female,40,omastar,level-up,"water1, water3"
omastar,"swift-swim, shell-armor, weak-armor",70,60,125,70,115,55,87.5% Male, 12.5% Female,40,omastar,level-up,"water1, water3"
kabuto,"swift-swim, battle-armor, weak-armor",30,80,90,45,55,55,87.5% Male, 12.5% Female,40,kabutops,level-up,"water1, water3"
kabutops,"swift-swim, battle-armor, weak-armor",60,115,105,70,65,80,87.5% Male, 12.5% Female,40,kabutops,level-up,"water1, water3"
aerodactyl,"rock-head, pressure, unnerve",80,105,65,75,60,130,87.5% Male, 12.5% Female,,,,"flying"
snorlax,"immunity, thick-fat, gluttony",160,110,65,110,65,30,87.5% Male, 12.5% Female,,snorlax,level-up,"monster"
articuno,"pressure, snow-cloak",90,85,100,125,95,85,Genderless,,,,"no-eggs"
zapdos,"pressure, static",90,90,85,90,125,100,Genderless,,,,"no-eggs"
moltres,"pressure, flame-body",90,100,90,85,125,90,Genderless,,,,"no-eggs"
dratini,"shed-skin, marvel-scale",41,64,45,50,50,50,50% Male, 50% Female,30,dragonair,level-up,"water1, dragon"
dragonair,"shed-skin, marvel-scale",61,84,65,70,70,70,50% Male, 50% Female,30,dragonair,level-up,"water1, dragon"
dragonite,"inner-focus, multiscale",91,134,95,100,100,80,50% Male, 50% Female,30,dragonair,level-up,"water1, dragon"
mewtwo,"pressure, unnerve",106,110,90,90,154,130,Genderless,,,,"no-eggs"
mew,"synchronize",100,100,100,100,100,100,Genderless,,,,"no-eggs"
chikorita,"overgrow, leaf-guard",45,49,65,65,49,45,87.5% Male, 12.5% Female,16,bayleef,level-up,"monster, plant"
bayleef,"overgrow, leaf-guard",60,62,80,80,63,60,87.5% Male, 12.5% Female,16,bayleef,level-up,"monster, plant"
meganium,"overgrow, leaf-guard",80,82,100,100,83,80,87.5% Male, 12.5% Female,16,bayleef,level-up,"monster, plant"
cyndaquil,"blaze, flash-fire",39,52,43,50,60,65,87.5% Male, 12.5% Female,14,quilava,level-up,"ground"
quilava,"blaze, flash-fire",58,64,58,65,80,80,87.5% Male, 12.5% Female,14,quilava,level-up,"ground"
typhlosion,"blaze, flash-fire",78,84,78,85,109,100,87.5% Male, 12.5% Female,14,quilava,level-up,"ground"
totodile,"torrent, sheer-force",50,65,64,48,44,43,87.5% Male, 12.5% Female,18,croconaw,level-up,"monster, water1"
croconaw,"torrent, sheer-force",65,80,80,63,59,58,87.5% Male, 12.5% Female,18,croconaw,level-up,"monster, water1"
feraligatr,"torrent, sheer-force",85,105,100,83,79,78,87.5% Male, 12.5% Female,18,croconaw,level-up,"monster, water1"
sentret,"run-away, keen-eye, frisk",35,46,34,45,35,20,50% Male, 50% Female,15,furret,level-up,"ground"
furret,"run-away, keen-eye, frisk",85,76,64,55,45,90,50% Male, 50% Female,15,furret,level-up,"ground"
hoothoot,"insomnia, keen-eye, tinted-lens",60,30,30,56,36,50,50% Male, 50% Female,20,noctowl,level-up,"flying"
noctowl,"insomnia, keen-eye, tinted-lens",100,50,50,96,86,70,50% Male, 50% Female,20,noctowl,level-up,"flying"
ledyba,"swarm, early-bird, rattled",40,20,30,80,40,55,50% Male, 50% Female,18,ledian,level-up,"bug"
ledian,"swarm, early-bird, iron-fist",55,35,50,110,55,85,50% Male, 50% Female,18,ledian,level-up,"bug"
spinarak,"swarm, insomnia, sniper",40,60,40,40,40,30,50% Male, 50% Female,22,ariados,level-up,"bug"
ariados,"swarm, insomnia, sniper",70,90,70,70,60,40,50% Male, 50% Female,22,ariados,level-up,"bug"
crobat,"inner-focus, infiltrator",85,90,80,80,70,130,50% Male, 50% Female,22,golbat,level-up,"flying"
chinchou,"volt-absorb, illuminate, water-absorb",75,38,38,56,56,67,50% Male, 50% Female,27,lanturn,level-up,"water2"
lanturn,"volt-absorb, illuminate, water-absorb",125,58,58,76,76,67,50% Male, 50% Female,27,lanturn,level-up,"water2"
pichu,"static, lightning-rod",20,40,15,35,35,60,50% Male, 50% Female,,pikachu,level-up,"no-eggs"
cleffa,"cute-charm, magic-guard, friend-guard",50,25,28,55,45,15,25% Male, 75% Female,,clefairy,level-up,"no-eggs"
igglybuff,"cute-charm, competitive, friend-guard",90,30,15,20,40,15,25% Male, 75% Female,,jigglypuff,level-up,"no-eggs"
togepi,"hustle, serene-grace, super-luck",35,20,65,65,40,20,87.5% Male, 12.5% Female,,togetic,level-up,"no-eggs"
togetic,"hustle, serene-grace, super-luck",55,40,85,105,80,40,87.5% Male, 12.5% Female,,togetic,level-up,"flying, fairy"
natu,"synchronize, early-bird, magic-bounce",40,50,45,45,70,70,50% Male, 50% Female,25,xatu,level-up,"flying"
xatu,"synchronize, early-bird, magic-bounce",65,75,70,70,95,95,50% Male, 50% Female,25,xatu,level-up,"flying"
mareep,"static, plus",55,40,40,45,65,35,50% Male, 50% Female,15,flaaffy,level-up,"monster, ground"
flaaffy,"static, plus",70,55,55,60,80,45,50% Male, 50% Female,15,flaaffy,level-up,"monster, ground"
ampharos,"static, plus",90,75,85,90,115,55,50% Male, 50% Female,15,flaaffy,level-up,"monster, ground"
bellossom,"chlorophyll, healer",75,80,95,100,90,50,50% Male, 50% Female,21,gloom,level-up,"plant"
marill,"thick-fat, huge-power, sap-sipper",70,20,50,50,20,40,50% Male, 50% Female,,marill,level-up,"water1, fairy"
azumarill,"thick-fat, huge-power, sap-sipper",100,50,80,80,60,50,50% Male, 50% Female,,marill,level-up,"water1, fairy"
sudowoodo,"sturdy, rock-head, rattled",70,100,115,65,30,30,50% Male, 50% Female,,sudowoodo,level-up,"mineral"
politoed,"water-absorb, damp, drizzle",90,75,75,100,90,70,50% Male, 50% Female,25,poliwhirl,level-up,"water1"
hoppip,"chlorophyll, leaf-guard, infiltrator",35,35,40,55,35,50,50% Male, 50% Female,18,skiploom,level-up,"fairy, plant"
skiploom,"chlorophyll, leaf-guard, infiltrator",55,45,50,65,45,80,50% Male, 50% Female,18,skiploom,level-up,"fairy, plant"
jumpluff,"chlorophyll, leaf-guard, infiltrator",75,55,70,95,55,110,50% Male, 50% Female,18,skiploom,level-up,"fairy, plant"
aipom,"run-away, pickup, skill-link",55,70,55,55,40,85,50% Male, 50% Female,,ambipom,level-up,"ground"
sunkern,"chlorophyll, solar-power, early-bird",30,30,30,30,30,30,50% Male, 50% Female,,sunflora,use-item,"plant"
sunflora,"chlorophyll, solar-power, early-bird",75,75,55,85,105,30,50% Male, 50% Female,,sunflora,use-item,"plant"
yanma,"speed-boost, compound-eyes, frisk",65,65,45,45,75,95,50% Male, 50% Female,,yanmega,level-up,"bug"
wooper,"damp, water-absorb, unaware",55,45,45,25,25,15,50% Male, 50% Female,20,quagsire,level-up,"water1, ground"
quagsire,"damp, water-absorb, unaware",95,85,85,65,65,35,50% Male, 50% Female,20,quagsire,level-up,"water1, ground"
espeon,"synchronize, magic-bounce",65,65,60,95,130,110,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
umbreon,"synchronize, inner-focus",95,65,110,130,60,65,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
murkrow,"insomnia, super-luck, prankster",60,85,42,42,85,91,50% Male, 50% Female,,honchkrow,use-item,"flying"
slowking,"oblivious, own-tempo, regenerator",95,75,80,110,100,30,50% Male, 50% Female,37,slowbro,level-up,"monster, water1"
misdreavus,"levitate",60,60,60,85,85,85,50% Male, 50% Female,,mismagius,use-item,"indeterminate"
unown,"levitate",48,72,48,48,72,48,Genderless,,,,"no-eggs"
wobbuffet,"shadow-tag, telepathy",190,33,58,58,33,33,50% Male, 50% Female,15,wobbuffet,level-up,"indeterminate"
girafarig,"inner-focus, early-bird, sap-sipper",70,80,65,65,90,85,50% Male, 50% Female,,farigiraf,level-up,"ground"
pineco,"sturdy, overcoat",50,65,90,35,35,15,50% Male, 50% Female,31,forretress,level-up,"bug"
forretress,"sturdy, overcoat",75,90,140,60,60,40,50% Male, 50% Female,31,forretress,level-up,"bug"
dunsparce,"serene-grace, run-away, rattled",100,70,70,65,65,45,50% Male, 50% Female,,dudunsparce,level-up,"ground"
gligar,"hyper-cutter, sand-veil, immunity",65,75,105,65,35,85,50% Male, 50% Female,,gliscor,level-up,"bug"
steelix,"rock-head, sturdy, sheer-force",75,85,200,65,55,30,50% Male, 50% Female,,steelix,trade,"mineral"
snubbull,"intimidate, run-away, rattled",60,80,50,40,40,30,25% Male, 75% Female,23,granbull,level-up,"ground, fairy"
granbull,"intimidate, quick-feet, rattled",90,120,75,60,60,45,25% Male, 75% Female,23,granbull,level-up,"ground, fairy"
qwilfish,"poison-point, swift-swim, intimidate",65,95,85,55,55,85,50% Male, 50% Female,,overqwil,strong-style-move,"water2"
scizor,"swarm, technician, light-metal",70,130,100,80,55,65,50% Male, 50% Female,,scizor,trade,"bug"
shuckle,"sturdy, gluttony, contrary",20,10,230,230,10,5,50% Male, 50% Female,,,,"bug"
heracross,"swarm, guts, moxie",80,125,75,95,40,85,50% Male, 50% Female,,,,"bug"
sneasel,"inner-focus, keen-eye, pickpocket",55,95,55,75,35,115,50% Male, 50% Female,,weavile,level-up,"ground"
teddiursa,"pickup, quick-feet, honey-gather",60,80,50,50,50,40,50% Male, 50% Female,30,ursaring,level-up,"ground"
ursaring,"guts, quick-feet, unnerve",90,130,75,75,75,55,50% Male, 50% Female,30,ursaring,level-up,"ground"
slugma,"magma-armor, flame-body, weak-armor",40,40,40,40,70,20,50% Male, 50% Female,38,magcargo,level-up,"indeterminate"
magcargo,"magma-armor, flame-body, weak-armor",60,50,120,80,90,30,50% Male, 50% Female,38,magcargo,level-up,"indeterminate"
swinub,"oblivious, snow-cloak, thick-fat",50,50,40,30,30,50,50% Male, 50% Female,33,piloswine,level-up,"ground"
piloswine,"oblivious, snow-cloak, thick-fat",100,100,80,60,60,50,50% Male, 50% Female,33,piloswine,level-up,"ground"
corsola,"hustle, natural-cure, regenerator",65,55,95,95,65,35,25% Male, 75% Female,38,cursola,level-up,"water1, water3"
remoraid,"hustle, sniper, moody",35,65,35,35,65,65,50% Male, 50% Female,25,octillery,level-up,"water1, water2"
octillery,"suction-cups, sniper, moody",75,105,75,75,105,45,50% Male, 50% Female,25,octillery,level-up,"water1, water2"
delibird,"vital-spirit, hustle, insomnia",45,55,45,45,65,75,50% Male, 50% Female,,,,"water1, ground"
mantine,"swift-swim, water-absorb, water-veil",85,40,70,140,80,70,50% Male, 50% Female,,mantine,level-up,"water1"
skarmory,"keen-eye, sturdy, weak-armor",65,80,140,70,40,70,50% Male, 50% Female,,,,"flying"
houndour,"early-bird, flash-fire, unnerve",45,60,30,50,80,65,50% Male, 50% Female,24,houndoom,level-up,"ground"
houndoom,"early-bird, flash-fire, unnerve",75,90,50,80,110,95,50% Male, 50% Female,24,houndoom,level-up,"ground"
kingdra,"swift-swim, sniper, damp",75,95,95,95,95,85,50% Male, 50% Female,32,seadra,level-up,"water1, dragon"
phanpy,"pickup, sand-veil",90,60,60,40,40,40,50% Male, 50% Female,25,donphan,level-up,"ground"
donphan,"sturdy, sand-veil",90,120,120,60,60,50,50% Male, 50% Female,25,donphan,level-up,"ground"
porygon2,"trace, download, analytic",85,80,90,95,105,60,Genderless,,porygon2,trade,"mineral"
stantler,"intimidate, frisk, sap-sipper",73,95,62,65,85,85,50% Male, 50% Female,,wyrdeer,agile-style-move,"ground"
smeargle,"own-tempo, technician, moody",55,20,35,45,20,75,50% Male, 50% Female,,,,"ground"
tyrogue,"guts, steadfast, vital-spirit",35,35,35,35,35,35,Male only,20,hitmonlee,level-up,"no-eggs"
